name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false
RZE__to__KAT_cand_4018,3.84,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2487,2.4000000000000004,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4323,4.2,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_1876,1.6800000000000002,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2793,2.76,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_2794,2.76,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_1570,1.3200000000000005,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_1569,1.3200000000000005,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4324,4.2,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_4629,4.5600000000000005,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_1875,1.6800000000000002,6,11.3,1.6500000000000004,0.3,3.5,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3100,3.120000000000001,6,11.3,1.6500000000000004,0.3,3.500000000000001,1.0,True,1.0,1.0499999999999998
RZE__to__KAT_cand_3997,3.84,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_4915,4.92,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_2774,2.76,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_2467,2.4000000000000004,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_4914,4.92,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_4916,4.92,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_3079,3.120000000000001,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_1244,0.96,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_3386,3.4800000000000004,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_1243,0.96,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_4610,4.5600000000000005,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_3385,3.4800000000000004,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_1549,1.3200000000000005,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_3998,3.84,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_3384,3.4800000000000004,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_1855,1.6800000000000002,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_3692,3.6,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_937,0.6,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_3691,3.6,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_3078,3.120000000000001,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_2160,2.0400000000000005,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_4304,4.2,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_4302,4.2,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_2161,2.0400000000000005,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_2162,2.0400000000000005,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_4608,4.5600000000000005,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_4303,4.2,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_938,0.6,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_1854,1.6800000000000002,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_1242,0.96,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_4609,4.5600000000000005,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_2468,2.4000000000000004,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_1856,1.6800000000000002,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_2772,2.76,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_1548,1.3200000000000005,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_1550,1.3200000000000005,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_3080,3.120000000000001,6,11.3,0.6000000000000003,0.3,1.3900000000000006,1.0,True,1.0,1.05
RZE__to__KAT_cand_936,0.6,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_3690,3.6,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_3996,3.84,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_2773,2.76,6,11.3,0.6000000000000003,0.3,-0.7199999999999998,1.0,True,1.0,1.05
RZE__to__KAT_cand_2466,2.4000000000000004,6,11.3,0.6000000000000003,0.3,-2.83,1.0,True,1.0,1.05
RZE__to__KAT_cand_72,-0.4800000000000001,6,11.3,2.7000000000000006,0.3,-2.83,1.0,True,1.0,1.08
RZE__to__KAT_cand_508,-0.12,6,11.3,10.05,0.3,3.500000000000001,1.0,True,1.0,1.08
RZE__to__KAT_cand_112,-0.4800000000000001,6,11.3,4.800000000000001,0.3,3.500000000000001,1.0,True,1.0,1.08
RZE__to__KAT_cand_90,-0.4800000000000001,6,11.3,3.75,0.3,-2.83,1.0,True,1.0,1.08
RZE__to__KAT_cand_544,-0.12,6,11.3,11.1,0.3,3.500000000000001,1.0,True,1.0,1.08
RZE__to__KAT_cand_128,-0.4800000000000001,6,11.3,5.850000000000001,0.3,1.3900000000000006,1.0,True,1.0,1.08
RZE__to__KAT_cand_108,-0.4800000000000001,6,11.3,4.800000000000001,0.3,-2.83,1.0,True,1.0,1.08
RZE__to__KAT_cand_94,-0.4800000000000001,6,11.3,3.75,0.3,3.500000000000001,1.0,True,1.0,1.08
RZE__to__KAT_cand_127,-0.4800000000000001,6,11.3,5.850000000000001,0.3,-0.7199999999999998,1.0,True,1.0,1.08
RZE__to__KAT_cand_184,-0.4800000000000001,6,11.3,9.000000000000002,0.3,3.500000000000001,1.0,True,1.0,1.08
RZE__to__KAT_cand_200,-0.4800000000000001,6,11.3,10.05,0.3,1.3900000000000006,1.0,True,1.0,1.08
RZE__to__KAT_cand_199,-0.4800000000000001,6,11.3,10.05,0.3,-0.7199999999999998,1.0,True,1.0,1.08
RZE__to__KAT_cand_198,-0.4800000000000001,6,11.3,10.05,0.3,-2.83,1.0,True,1.0,1.08
RZE__to__KAT_cand_74,-0.4800000000000001,6,11.3,2.7000000000000006,0.3,1.3900000000000006,1.0,True,1.0,1.08
RZE__to__KAT_cand_37,-0.4800000000000001,6,11.3,1.6500000000000004,0.3,-0.7199999999999998,1.0,True,1.0,1.08
RZE__to__KAT_cand_292,-0.4800000000000001,6,11.3,14.250000000000002,0.3,3.500000000000001,1.0,True,1.0,1.08
