name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency
RZE__to__SZZ_cand_186,0.4,6,11.3,2.71,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_187,0.4,6,11.3,2.71,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_188,0.4,6,11.3,2.71,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_189,0.4,6,11.3,2.71,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_190,0.4,6,11.3,2.98,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_191,0.4,6,11.3,2.98,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_192,0.4,6,11.3,2.98,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_193,0.4,6,11.3,2.98,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_194,0.4,6,11.3,2.98,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_195,0.4,6,11.3,2.98,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_196,0.4,6,11.3,2.98,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_197,0.4,6,11.3,2.98,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_198,0.4,6,11.3,2.98,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_199,0.4,6,11.3,2.98,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_200,0.4,6,11.3,3.25,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_201,0.4,6,11.3,3.25,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_202,0.4,6,11.3,3.25,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_203,0.4,6,11.3,3.25,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_204,0.4,6,11.3,3.25,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_205,0.4,6,11.3,3.25,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_206,0.4,6,11.3,3.25,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_207,0.4,6,11.3,3.25,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_208,0.4,6,11.3,3.25,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_209,0.4,6,11.3,3.25,0.3,5.6,1.0000000000,true,1.0000000000
