name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE_cand_7284_cand_2470,0.5766000000000001,6,11.3,1.66,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_15018,0.6516000000000002,6,11.3,1.9800000000000004,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_6023,0.5916000000000001,6,11.3,2.1000000000000005,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3802,0.5766000000000001,6,11.3,2.140000000000001,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_17128,0.6666000000000002,6,11.3,1.9000000000000004,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_5135,0.5916000000000001,6,11.3,1.7800000000000002,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8022,0.6066000000000001,6,11.3,1.9800000000000004,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_4357,0.5766000000000001,6,11.3,2.3400000000000007,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_6134,0.5916000000000001,6,11.3,2.140000000000001,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8577,0.6066000000000001,6,11.3,2.1800000000000006,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_11353,0.6216000000000002,6,11.3,2.3400000000000007,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_4691,0.5916000000000001,6,11.3,1.62,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_804,0.5616000000000001,6,11.3,1.9000000000000004,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_17461,0.6666000000000002,6,11.3,2.0200000000000005,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_17794,0.6666000000000002,6,11.3,2.140000000000001,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3358,0.5766000000000001,6,11.3,1.9800000000000004,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_20792,0.6816000000000002,6,11.3,2.380000000000001,0.3,7.436399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3247,0.5766000000000001,6,11.3,1.9400000000000004,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_18238,0.6666000000000002,6,11.3,2.3000000000000007,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_2359,0.5766000000000001,6,11.3,1.62,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_915,0.5616000000000001,6,11.3,1.9400000000000004,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_7911,0.6066000000000001,6,11.3,1.9400000000000004,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
