name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_150,0.7332000000000001,6,11.3,2.96,0.3,13.617199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_151,0.7332000000000001,6,11.3,2.96,0.3,13.941199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_152,0.7332000000000001,6,11.3,2.96,0.3,14.265199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_153,0.7332000000000001,6,11.3,2.96,0.3,14.589199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_154,0.7332000000000001,6,11.3,2.96,0.3,14.913199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_155,0.7332000000000001,6,11.3,2.96,0.3,15.237199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_156,0.7332000000000001,6,11.3,2.96,0.3,15.561199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_157,0.7332000000000001,6,11.3,2.96,0.3,15.885199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_158,0.7332000000000001,6,11.3,2.96,0.3,16.209199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_159,0.7332000000000001,6,11.3,2.96,0.3,16.533199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_160,0.7332000000000001,6,11.3,2.96,0.3,16.85719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_161,0.7332000000000001,6,11.3,2.96,0.3,17.181199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_162,0.7332000000000001,6,11.3,2.96,0.3,17.50519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_163,0.7332000000000001,6,11.3,2.96,0.3,17.829199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_164,0.7332000000000001,6,11.3,2.96,0.3,18.15319999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_165,0.7332000000000001,6,11.3,2.96,0.3,18.477199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_166,0.7332000000000001,6,11.3,2.96,0.3,18.80119999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_167,0.7332000000000001,6,11.3,2.96,0.3,19.125199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_168,0.7332000000000001,6,11.3,2.96,0.3,19.44919999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_169,0.7332000000000001,6,11.3,2.96,0.3,19.77319999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_170,0.7332000000000001,6,11.3,2.96,0.3,20.09719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_171,0.7332000000000001,6,11.3,2.96,0.3,20.421199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_172,0.7332000000000001,6,11.3,2.96,0.3,20.74519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_173,0.7332000000000001,6,11.3,2.96,0.3,21.069199999999988,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_174,0.7332000000000001,6,11.3,3.04,0.3,2.6012,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_175,0.7332000000000001,6,11.3,3.04,0.3,2.9252,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_176,0.7332000000000001,6,11.3,3.04,0.3,3.2491999999999996,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_177,0.7332000000000001,6,11.3,3.04,0.3,3.5731999999999995,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_178,0.7332000000000001,6,11.3,3.04,0.3,3.8971999999999993,0.5109406752,false,1.0000000000
RZE_cand_1894_cand_179,0.7332000000000001,6,11.3,3.04,0.3,4.2212,0.5534185513,false,1.0000000000
RZE_cand_1894_cand_180,0.7332000000000001,6,11.3,3.04,0.3,4.5451999999999995,0.5958964274,false,1.0000000000
RZE_cand_1894_cand_181,0.7332000000000001,6,11.3,3.04,0.3,4.869199999999999,0.6383743035,false,1.0000000000
RZE_cand_1894_cand_182,0.7332000000000001,6,11.3,3.04,0.3,5.193199999999999,0.6808521796,false,1.0000000000
RZE_cand_1894_cand_183,0.7332000000000001,6,11.3,3.04,0.3,5.517199999999999,0.7233300557,false,1.0000000000
RZE_cand_1894_cand_184,0.7332000000000001,6,11.3,3.04,0.3,5.841199999999999,0.7658079318,false,1.0000000000
RZE_cand_1894_cand_185,0.7332000000000001,6,11.3,3.04,0.3,6.165199999999999,0.8082858079,false,1.0000000000
RZE_cand_1894_cand_186,0.7332000000000001,6,11.3,3.04,0.3,6.4891999999999985,0.8507636840,false,1.0000000000
RZE_cand_1894_cand_187,0.7332000000000001,6,11.3,3.04,0.3,6.813199999999998,0.8932415601,false,1.0000000000
RZE_cand_1894_cand_188,0.7332000000000001,6,11.3,3.04,0.3,7.137199999999998,0.9357194363,false,1.0000000000
RZE_cand_1894_cand_189,0.7332000000000001,6,11.3,3.04,0.3,7.461199999999998,0.9781973124,false,1.0000000000
RZE_cand_1894_cand_190,0.7332000000000001,6,11.3,3.04,0.3,7.785199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_191,0.7332000000000001,6,11.3,3.04,0.3,8.109199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_192,0.7332000000000001,6,11.3,3.04,0.3,8.433199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_193,0.7332000000000001,6,11.3,3.04,0.3,8.757199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_194,0.7332000000000001,6,11.3,3.04,0.3,9.081199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_195,0.7332000000000001,6,11.3,3.04,0.3,9.405199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_196,0.7332000000000001,6,11.3,3.04,0.3,9.729199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_197,0.7332000000000001,6,11.3,3.04,0.3,10.053199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_198,0.7332000000000001,6,11.3,3.04,0.3,10.377199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_199,0.7332000000000001,6,11.3,3.04,0.3,10.701199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_200,0.7332000000000001,6,11.3,3.04,0.3,11.025199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_201,0.7332000000000001,6,11.3,3.04,0.3,11.349199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_202,0.7332000000000001,6,11.3,3.04,0.3,11.673199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_203,0.7332000000000001,6,11.3,3.04,0.3,11.997199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_204,0.7332000000000001,6,11.3,3.04,0.3,12.321199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_205,0.7332000000000001,6,11.3,3.04,0.3,12.645199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_206,0.7332000000000001,6,11.3,3.04,0.3,12.969199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_207,0.7332000000000001,6,11.3,3.04,0.3,13.293199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_208,0.7332000000000001,6,11.3,3.04,0.3,13.617199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_209,0.7332000000000001,6,11.3,3.04,0.3,13.941199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_210,0.7332000000000001,6,11.3,3.04,0.3,14.265199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_211,0.7332000000000001,6,11.3,3.04,0.3,14.589199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_212,0.7332000000000001,6,11.3,3.04,0.3,14.913199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_213,0.7332000000000001,6,11.3,3.04,0.3,15.237199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_214,0.7332000000000001,6,11.3,3.04,0.3,15.561199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_215,0.7332000000000001,6,11.3,3.04,0.3,15.885199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_216,0.7332000000000001,6,11.3,3.04,0.3,16.209199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_217,0.7332000000000001,6,11.3,3.04,0.3,16.533199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_218,0.7332000000000001,6,11.3,3.04,0.3,16.85719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_219,0.7332000000000001,6,11.3,3.04,0.3,17.181199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_220,0.7332000000000001,6,11.3,3.04,0.3,17.50519999999999,1.0000000000,true,1.0000000000
