candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_42,0.3800000000,6.0000000000,11.3000000000,1.9000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_43,0.3782014234,6.0000000000,11.3000000000,1.9561479071,0.3000000000,2.5821960656,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_44,0.3000000000,6.0000000000,11.3000000000,1.9200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8400000000,1.0000000000
RZE_resampled_45,0.3000000000,6.0000000000,11.3000000000,1.9500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8400000000,1.0000000000
RZE_resampled_46,0.3000000000,6.0000000000,11.3000000000,1.9800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8460968745,1.0000000000
RZE_resampled_47,0.2752982502,6.0000000000,11.3000000000,1.9097759137,0.3000000000,2.4601892004,1.0000000000,true,1.0000000000,0.8226756236,1.0000000000
RZE_resampled_48,0.3200000000,6.0000000000,11.3000000000,1.8800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_49,0.3500000000,6.0000000000,11.3000000000,1.8500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_50,0.3800000000,6.0000000000,11.3000000000,1.8200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_51,0.2192689824,6.0000000000,11.3000000000,1.9252281213,0.3000000000,2.4654374501,1.0000000000,true,1.0000000000,0.7693634416,1.0000000000
RZE_resampled_52,0.3200000000,6.0000000000,11.3000000000,1.9200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_53,0.3500000000,6.0000000000,11.3000000000,1.9500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_54,0.3800000000,6.0000000000,11.3000000000,1.9800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_55,0.3442254637,6.0000000000,11.3000000000,1.9245370314,0.3000000000,2.5926492139,1.0000000000,true,1.0000000000,0.9293884546,1.0000000000
RZE_resampled_56,0.3400000000,6.0000000000,11.3000000000,1.9000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9520000000,1.0000000000
RZE_resampled_57,0.4000000000,6.0000000000,11.3000000000,1.9000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_58,0.4600000000,6.0000000000,11.3000000000,1.9000000000,0.3000000000,2.5000000000,0.9782608696,false,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_59,0.2790065207,6.0000000000,11.3000000000,1.8578118812,0.3000000000,2.5455924384,1.0000000000,true,1.0000000000,0.8014110821,1.0000000000
RZE_resampled_60,0.3200000000,6.0000000000,11.3000000000,2.0000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_61,0.3500000000,6.0000000000,11.3000000000,2.0000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9800000000,1.0000000000
RZE_resampled_62,0.3800000000,6.0000000000,11.3000000000,2.0000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_63,0.3238059216,6.0000000000,11.3000000000,2.0093561697,0.3000000000,2.4793240697,1.0000000000,true,1.0000000000,0.9142174994,1.0000000000
RZE_resampled_67,0.3137325347,6.0000000000,11.3000000000,2.0379325689,0.3000000000,2.5346720367,1.0000000000,true,1.0000000000,0.8664346753,1.0000000000
RZE_resampled_68,0.3000000000,6.0000000000,11.3000000000,2.0200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8538806186,1.0000000000
RZE_resampled_69,0.3000000000,6.0000000000,11.3000000000,2.0500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8594748048,1.0000000000
RZE_resampled_70,0.3000000000,6.0000000000,11.3000000000,2.0800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8648724027,1.0000000000
RZE_resampled_71,0.2909693355,6.0000000000,11.3000000000,1.9902117505,0.3000000000,2.4724204774,1.0000000000,true,1.0000000000,0.8447061359,1.0000000000
RZE_resampled_72,0.3200000000,6.0000000000,11.3000000000,1.9800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
RZE_resampled_74,0.3800000000,6.0000000000,11.3000000000,1.9200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_75,0.2754461089,6.0000000000,11.3000000000,1.9874652748,0.3000000000,2.5236212352,1.0000000000,true,1.0000000000,0.8110878466,1.0000000000
RZE_resampled_76,0.3200000000,6.0000000000,11.3000000000,2.0200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.8960000000,1.0000000000
