candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_1176,0.42,6.0,11.3,2.08,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1178,0.48,6.0,11.3,2.02,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_1182,0.48,6.0,11.3,2.1,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1187,0.4724626363,6.0,11.3,2.1417859821,0.3,3.2089059837,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1194,0.48,6.0,11.3,2.18,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1198,0.48,6.0,11.3,2.02,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1244,0.42,6.0,11.3,2.2,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1245,0.45,6.0,11.3,2.2,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1246,0.48,6.0,11.3,2.2,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1251,0.4766209683,6.0,11.3,2.2011974105,0.3,2.4414435693,0.9441464599,False,1.0,1.0,1.0,True
RZE_resampled_1255,0.4441036763,6.0,11.3,2.094008437,0.3,2.5637125177,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1256,0.42,6.0,11.3,2.22,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1257,0.45,6.0,11.3,2.25,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1258,0.48,6.0,11.3,2.28,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_1265,0.45,6.0,11.3,2.2,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1266,0.48,6.0,11.3,2.2,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1267,0.4217094509,6.0,11.3,2.2092212672,0.3,2.7379268242,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1271,0.4178060926,6.0,11.3,2.2028611545,0.3,2.6444002305,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1273,0.45,6.0,11.3,2.25,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1274,0.48,6.0,11.3,2.28,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_1276,0.42,6.0,11.3,2.18,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_1278,0.48,6.0,11.3,2.12,0.3,2.7,0.95,False,1.0,1.0,1.0,True
